?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/HAO_0000365>	"The furca that is paired, arises medioventrally from the sternum and corresponds to the furcal pit."	
<http://purl.obolibrary.org/obo/HAO_0001954>	"The impression that is located at the anteroventral corner of the metapleuron."	
<http://purl.obolibrary.org/obo/HAO_0000982>	"The line that marks the fusion of two ancestral sclerites."	
<http://purl.obolibrary.org/obo/AISM_0000116>	"The cuticle of the mere that is part of the antenna."@en	
<http://purl.obolibrary.org/obo/HAO_0002347>	"The shortest anatomical line between the lateral margins of the propodeal spines."	
<http://purl.obolibrary.org/obo/AISM_0004233>	"The conjunctiva of the mesothorax that joins the mesosternum and the mesocoxa."@en	
<http://purl.obolibrary.org/obo/HAO_0002257>	"The conjunctiva that extends between the metanotum and the metapectal-propodeal complex."	
<http://purl.obolibrary.org/obo/AISM_0000189>	"The seta that is conical."@en	
<http://purl.obolibrary.org/obo/HAO_0000343>	"The region of the antenna that corresponds to the flagellomeres."	
<http://purl.obolibrary.org/obo/HAO_0000028>		
<http://purl.obolibrary.org/obo/AISM_0002027>	"The insect cranio-maxillar muscle that is attached to the gena and the cardo."@en	
<http://purl.obolibrary.org/obo/HAO_0000755>	"The mesofurcal muscle that originates proximally from the mesofurca and inserts on the mesopleuron."	
<http://purl.obolibrary.org/obo/HAO_0000966>	"The area that is elevated, located on the lateroventral margin of the mesoscutellar axillar complex and is continuous anteriorly with the postalar process."	
<http://purl.obolibrary.org/obo/HAO_0002138>	"The area on the lacinial lobe that is covered with acanthae."	
<http://purl.obolibrary.org/obo/HAO_0000747>	"The area that is delimited laterally distally and proximally by the sclerites that are connected to the distal margin of the prementum and receive the site of insertion of the premento-paraglossal muscle."	
<http://purl.obolibrary.org/obo/HAO_0002157>	"The flange that is adjacent to the border between the ventral and lateral premental faces and that overlaps externally the median part of the posterior stipital sclerite."	
<http://purl.obolibrary.org/obo/HAO_0002444>	"The area of the lateral flange of the principal carina of the stipes proximal to the notch of the principal carina of the stipes."	
<http://purl.obolibrary.org/obo/AISM_0004254>	"The insect wing fold that is posterior to the postcubitus and separates the costal field and the anal field."@en	
<http://purl.obolibrary.org/obo/HAO_0000173>	"The ridge that is located proximally and submarginally in the coxa."	
<http://purl.obolibrary.org/obo/AISM_0000054>	"The trochantin that is located on the ventro-lateral region of the mesothorax and is attached to a mesocoxa and surrounded by the basal mesocoxal conjunctiva."@en	
<http://purl.obolibrary.org/obo/AISM_0004296>	"The insect abdominal segment that is posterior to the insect abdominal segment VIII and composed of abdominal tergite IX and abdominal sternite IX."@en	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000030"
<http://purl.obolibrary.org/obo/HAO_0000027>		
<http://purl.obolibrary.org/obo/AISM_0004104>	"The abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal sternite I by the abdominal sternite I-abdominal sternite II conjunctiva."@en	
<http://purl.obolibrary.org/obo/HAO_0002061>	"The apodeme that arises distoventrally from the aedeagus and is continuous with the ventromedian conjunctiva of the gonostyle/volsella complex."	
<http://purl.obolibrary.org/obo/HAO_0002523>	"The median region at the  proximodorsal cupulal margin that is inflected and serves as the site of origin of the  dorsomedial cupulo-gonostipal muscles."	
<http://purl.obolibrary.org/obo/HAO_0001136>	"The tarsomere that is distal to and connected to the second tarsomere of the mid leg."	
