Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	adult	IAO:0000115	.
ERROR	duplicate_definition	egg	IAO:0000115	.
ERROR	duplicate_definition	larva	IAO:0000115	.
ERROR	duplicate_label	width	rdfs:label	width
ERROR	duplicate_label	width	rdfs:label	width
ERROR	duplicate_label	thorax	rdfs:label	thorax
ERROR	duplicate_label	thorax	rdfs:label	thorax
ERROR	duplicate_label	subantennal groove	rdfs:label	subantennal groove
ERROR	duplicate_label	subantennal groove	rdfs:label	subantennal groove
ERROR	duplicate_label	seta	rdfs:label	seta
ERROR	duplicate_label	seta	rdfs:label	seta
ERROR	duplicate_label	orbital carina	rdfs:label	orbital carina
ERROR	duplicate_label	orbital carina	rdfs:label	orbital carina
ERROR	duplicate_label	odontoidea	rdfs:label	odontoidea
ERROR	duplicate_label	odontoidea	rdfs:label	odontoidea
ERROR	duplicate_label	occipital margin	rdfs:label	occipital margin
ERROR	duplicate_label	occipital margin	rdfs:label	occipital margin
ERROR	duplicate_label	mucro	rdfs:label	mucro
ERROR	duplicate_label	mucro	rdfs:label	mucro
ERROR	duplicate_label	metasomal spiracle	rdfs:label	metasomal spiracle
ERROR	duplicate_label	metasomal spiracle	rdfs:label	metasomal spiracle
ERROR	duplicate_label	metapostnotum	rdfs:label	metapostnotum
ERROR	duplicate_label	metapostnotum	rdfs:label	metapostnotum
ERROR	duplicate_label	metapleural sulcus	rdfs:label	metapleural sulcus
ERROR	duplicate_label	metapleural sulcus	rdfs:label	metapleural sulcus
ERROR	duplicate_label	mesosoma height	rdfs:label	mesosoma height
ERROR	duplicate_label	mesosoma height	rdfs:label	mesosoma height
ERROR	duplicate_label	mesopleural pit	rdfs:label	mesopleural pit
ERROR	duplicate_label	mesopleural pit	rdfs:label	mesopleural pit
ERROR	duplicate_label	mandibular condyle	rdfs:label	mandibular condyle
ERROR	duplicate_label	mandibular condyle	rdfs:label	mandibular condyle
ERROR	duplicate_label	ligula	rdfs:label	ligula
ERROR	duplicate_label	ligula	rdfs:label	ligula
ERROR	duplicate_label	lateral propodeal carina	rdfs:label	lateral propodeal carina
ERROR	duplicate_label	lateral propodeal carina	rdfs:label	lateral propodeal carina
ERROR	duplicate_label	head+mesosoma length	rdfs:label	head+mesosoma length
ERROR	duplicate_label	head+mesosoma length	rdfs:label	head+mesosoma length
ERROR	duplicate_label	galeal comb	rdfs:label	galeal comb
ERROR	duplicate_label	galeal comb	rdfs:label	galeal comb
ERROR	duplicate_label	frontal line	rdfs:label	frontal line
ERROR	duplicate_label	frontal line	rdfs:label	frontal line
ERROR	duplicate_label	frontal carina	rdfs:label	frontal carina
ERROR	duplicate_label	frontal carina	rdfs:label	frontal carina
ERROR	duplicate_label	dorsal pronotal corner	rdfs:label	dorsal pronotal corner
ERROR	duplicate_label	dorsal pronotal corner	rdfs:label	dorsal pronotal corner
ERROR	duplicate_label	dorsal plate	rdfs:label	dorsal plate
ERROR	duplicate_label	dorsal plate	rdfs:label	dorsal plate
ERROR	duplicate_label	dorsal head width	rdfs:label	dorsal head width
ERROR	duplicate_label	dorsal head width	rdfs:label	dorsal head width
ERROR	duplicate_label	coeloconic sensillum	rdfs:label	coeloconic sensillum
ERROR	duplicate_label	coeloconic sensillum	rdfs:label	coeloconic sensillum
ERROR	duplicate_label	appendage segment	rdfs:label	appendage segment
ERROR	duplicate_label	appendage segment	rdfs:label	appendage segment
ERROR	duplicate_label	acetabular carina	rdfs:label	acetabular carina
ERROR	duplicate_label	acetabular carina	rdfs:label	acetabular carina
WARN	missing_obsolete_label	DEPRECATED anatomical entity	rdfs:label	DEPRECATED anatomical entity
WARN	missing_obsolete_label	DEPRECATED anatomical structure	rdfs:label	DEPRECATED anatomical structure
WARN	missing_obsolete_label	DEPRECATED portion of organism substance	rdfs:label	DEPRECATED portion of organism substance
WARN	missing_obsolete_label	DEPRECATED anatomical space	rdfs:label	DEPRECATED anatomical space
WARN	missing_obsolete_label	DEPRECATED material anatomical entity	rdfs:label	DEPRECATED material anatomical entity
WARN	missing_obsolete_label	DEPRECATED immaterial anatomical entity	rdfs:label	DEPRECATED immaterial anatomical entity
WARN	missing_obsolete_label	DEPRECATED anatomical line	rdfs:label	DEPRECATED anatomical line
WARN	missing_obsolete_label	DEPRECATED anatomical point	rdfs:label	DEPRECATED anatomical point
WARN	missing_obsolete_label	DEPRECATED anatomical surface	rdfs:label	DEPRECATED anatomical surface
WARN	missing_obsolete_label	DEPRECATED anatomical system	rdfs:label	DEPRECATED anatomical system
WARN	missing_obsolete_label	DEPRECATED multi-cellular organism	rdfs:label	DEPRECATED multi-cellular organism
